|main_law|draft|category_law|reading|initiators|committee|link_to_votes|url
32|О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Глобальным институтом зеленого роста относительно правового статуса, привилегий и иммунитетов Глобального института зеленого роста (GGGI), подписанного 27 апреля 2023 года в городе Бишкек|О проекте Закона|Empty|вносится на второе чтение|инициатор – Председатель Кабинета Министров, вх. № 6-13524/23, от 25.10.2023|Комитетом по международным делам, обороне, безопасности и миграции рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134509_20-12-2023 10-36 Голосование 11.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
33|О наркотических средствах, психотропных веществах, их аналогах и прекурсорах|О проекте Закона|Empty|вносится на второе чтение|инициатор – Председатель Кабинета Министров, вх. № 6-12711/23 от 10.10.2023|Комитетом по правопорядку, борьбе с преступностью и противодействию коррупции рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134529_20-12-2023 10-56 Голосование 12.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
34|О внесении изменений в Уголовно-процессуальный кодекс Кыргызской Республики|О проекте Закона|Empty|вносится на первое чтение|инициатор – Председатель Кабинета Министров, вх. № 6-12872/23 от 13.10.2023|Комитетом по правопорядку, борьбе с преступностью и противодействию коррупции рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134546_20-12-2023 11-02 Голосование 13.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
35|О ратификации Меморандума об обязательствах Республики Беларусь в целях получения статуса государства-члена Шанхайской организации сотрудничества, подписанного 4 июля 2023 года в городе Нью-Дели|О проекте Закона|Empty|вносится на первое чтение|инициатор – Председатель Кабинета Министров, вх. № 6-14816/23, от 23.11.2023|Комитетом по международным делам, обороне, безопасности и миграции рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134600_20-12-2023 11-07 Голосование 14.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
36|О ратификации Меморандума об обязательствах Республики Беларусь в целях получения статуса государства-члена Шанхайской организации сотрудничества, подписанного 4 июля 2023 года в городе Нью-Дели|О проекте Закона|Empty|вносится на второе чтение|инициатор – Председатель Кабинета Министров, вх. № 6-14816/23, от 23.11.2023|Комитетом по международным делам, обороне, безопасности и миграции рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134613_20-12-2023 11-07 Голосование 15.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
37|О ратификации Меморандума об обязательствах Республики Беларусь в целях получения статуса государства-члена Шанхайской организации сотрудничества, подписанного 4 июля 2023 года в городе Нью-Дели|О проекте Закона|Empty|вносится на третье чтение|инициатор – Председатель Кабинета Министров, вх. № 6-14816/23, от 23.11.2023|Комитетом по международным делам, обороне, безопасности и миграции рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134627_20-12-2023 11-08 Голосование 16.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
38|Функциональное улучшение Республиканской клинической инфекционной больницы», подписанного 14 июля 2023 года в городе Бишкек, и Кредитного соглашения Функциональное усовершенствование Республиканской клинической инфекционной больницы» между Кабинетом Министров Кыргызской Республики и Экспортно-Импортным Банком Кореи (Правительственное агентство от имени EDCF), подписанного 21 августа 2023 года в городе Бишкек»|О проекте Закона|О ратификации Соглашения между Кабинетом Министров Кыргызской Республики и Правительством Республики Корея в отношении Кредита от Фонда сотрудничества в целях экономического развития для проекта|вносится на первое чтение|инициатор – Председатель Кабинета Министров, вх. № 6-14197/23, от 13.11.2023|Комитетом по международным делам, обороне, безопасности и миграции, Комитетом по социальной политике, Комитетом по бюджету, экономической и фискальной политике рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134642_20-12-2023 11-26 Голосование 17.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
39|О внесении изменений в Уголовно-процессуальный кодекс Кыргызской Республики|О проекте Закона|Empty|вносится на первое чтение|инициатор – Председатель Кабинета Министров, вх. № 6-13523/23 от 25.10.2023|Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134702_20-12-2023 11-30 Голосование 18.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
40|О внесении изменений в Закон Кыргызской Республики О статусе Баткенской области», возвращенного с возражением Президента Кыргызской Республики»|О проекте постановления Жогорку Кенеша|Об образовании согласительной группы для выработки согласованного варианта Закона Кыргызской Республики|NO|инициаторы проекта Закона – депутаты Ажибаев Ч.И., Нурбаев Ж.П., Атажанов Ы.Ы., Ражабалиев Н.А., Матраимов И.И., Темирбаева М.О., Талиева К.А., Алиев М.К., Бакиров Ө.М., Козуев А.А., Айжигитов С.А.|Комитетом по конституционному законодательству, государственному устройству, судебно-правовым вопросам и Регламенту Жогорку Кенеша рассмотрен|http://kenesh.kg//uploads/media/default/0001/98/221223134721_20-12-2023 11-34 Голосование 19.pdf|http://kenesh.kg/ru/article/show/11578/zakonoproekti-rassmotrennie-20-dekabrya-2023-goda-i-vnesennie-na-golosovanie
41|О республиканском бюджете Кыргызской Республики на 2023 год и плановый период 2024–2025 годов|О внесении изменений в Закон Кыргызской Республики|Empty|вносится на второе чтение|инициатор – Председатель Кабинета Министров, вх. 6-13832/23 от 31.10.2023|NO|http://kenesh.kg//uploads/media/default/0001/98/151223113331_14-12-2023 01-00 Голосование 5.pdf|http://kenesh.kg/ru/article/show/11546/zakonoproekti-rassmotrennie-14-dekabrya-2023-goda-i-vnesennie-na-golosovanie
